Nation,Playername,Wickets,Average,Economy,Strikerate
England,JM Anderson,82,21.60,2.38,54.3
England,SCJ Broad,65,31.44,2.74,68.6
England,MM Ali,60,41.00,3.48,70.5
England,BA Stokes,38,27.92,3.09,54.2
England,AU Rashid,30,35.66,3.72,57.4
England,CR Woakes,30,44.50,3.12,85.4
England,TS Roland-Jones,17,19.64,3.73,31.5
England,LA Dawson,7,42.57,3.39,75.1
England,C Overton,7,42.28,3.52,72.0
England,JE Root,6,39.16,3.00,78.1
England,ZS Ansari,5,55.00,4.04,81.6
England,ST Finn,5,54.40,3.31,98.6
England,MA Wood,5,78.40,3.09,151.8
England,GJ Batty,4,45.25,3.39,80.0
England,DM Bess,3,40.33,3.82,63.3
England,JT Ball,2,127.50,3.80,201.0
England,SM Curran,2,21.50,3.03,42.5
England,TK Curran,2,100.00,3.03,198.0
England,MJ Leach,2,56.50,2.21,153.0
England,MS Crane,1,193.00,4.02,288.0
England,KK Jennings,0,-,3.66,-
England,DJ Malan,0,-,2.69,-
England,JM Vince,0,-,2.00,-
England,T Westley,0,-,3.00,-
England,JM Bairstow,-,-,-,-
England,GS Ballance,-,-,-,-
England,JC Buttler,-,-,-,-
England,AN Cook,-,-,-,-
England,BM Duckett,-,-,-,-
England,AD Hales,-,-,-,-
England,H Hameed,-,-,-,-
England,MD Stoneman,-,-,-,-
Australia,NM Lyon,106,31.40,2.94,63.9
Australia,MA Starc,85,26.00,3.38,46.0
Australia,JR Hazlewood,76,28.55,2.64,64.6
Australia,PJ Cummins,59,24.66,2.95,50.1
Australia,SNJ O'Keefe,25,26.92,2.57,62.7
Australia,JM Bird,13,39.30,3.27,72.0
Australia,AC Agar,7,23.14,2.62,52.8
Australia,MR Marsh,7,70.28,3.59,117.4
Australia,JM Holland,5,54.80,3.34,98.4
Australia,PM Siddle,3,32.66,2.57,76.0
Australia,CJ Sayers,2,73.00,2.97,147.0
Australia,GJ Maxwell,1,70.00,3.50,120.0
Australia,JM Mennie,1,85.00,3.03,168.0
Australia,SPD Smith,1,95.00,3.25,175.0
Australia,HWR Cartwright,0,-,3.44,-
Australia,MC Henriques,0,-,4.50,-
Australia,UT Khawaja,0,-,1.00,-
Australia,NJ Maddinson,0,-,4.50,-
Australia,MT Renshaw,0,-,3.25,-
Australia,AC Voges,0,-,2.87,-
Australia,DA Warner,0,-,5.00,-
Australia,CT Bancroft,-,-,-,-
Australia,JA Burns,-,-,-,-
Australia,CJ Ferguson,-,-,-,-
Australia,PSP Handscomb,-,-,-,-
Australia,SE Marsh,-,-,-,-
Australia,PM Nevill,-,-,-,-
Australia,TD Paine,-,-,-,-
Australia,MS Wade,-,-,-,-
SouthAfrica,K Rabada,127,21.14,3.23,39.2
SouthAfrica,KA Maharaj,90,27.65,3.14,52.8
SouthAfrica,VD Philander,79,20.67,2.50,49.4
SouthAfrica,M Morkel,67,21.67,3.04,42.6
SouthAfrica,KJ Abbott,18,19.38,2.49,46.5
SouthAfrica,D Olivier,17,23.11,3.89,35.6
SouthAfrica,L Ngidi,15,19.53,2.84,41.2
SouthAfrica,DW Steyn,15,25.53,3.05,50.0
SouthAfrica,AL Phehlukwayo,11,13.36,3.52,22.7
SouthAfrica,CH Morris,8,25.75,4.80,32.1
SouthAfrica,WD Parnell,8,19.50,4.70,24.8
SouthAfrica,T Shamsi,6,46.33,3.45,80.5
SouthAfrica,JP Duminy,5,44.20,3.53,75.0
SouthAfrica,DL Piedt,2,44.00,4.63,57.0
SouthAfrica,T Bavuma,1,61.00,3.81,96.0
SouthAfrica,D Elgar,1,87.00,5.80,90.0
SouthAfrica,SC Cook,0,-,8.00,-
SouthAfrica,TB de Bruyn,0,-,4.35,-
SouthAfrica,AK Markram,0,-,2.71,-
SouthAfrica,S van Zyl,0,-,1.66,-
SouthAfrica,HM Amla,-,-,-,-
SouthAfrica,Q de Kock,-,-,-,-
SouthAfrica,AB de Villiers,-,-,-,-
SouthAfrica,F du Plessis,-,-,-,-
SouthAfrica,HG Kuhn,-,-,-,-
Westindies,ST Gabriel,75,25.82,3.27,47.3
Westindies,JO Holder,60,24.60,2.53,58.3
Westindies,D Bishoo,48,33.02,3.15,62.7
Westindies,KAJ Roach,41,22.58,3.05,44.3
Westindies,RL Chase,37,42.00,3.39,74.2
Westindies,ML Cummins,27,37.59,3.28,68.7
Westindies,AS Joseph,15,38.86,3.10,75.1
Westindies,KC Brathwaite,3,151.33,3.18,285.3
Westindies,KMA Paul,3,19.66,3.68,32.0
Westindies,RA Reifer,2,44.00,2.93,90.0
Westindies,J Blackwood,0,-,2.38,-
Westindies,KOA Powell,0,-,0.00,-
Westindies,SW Ambris,-,-,-,-
Westindies,DM Bravo,-,-,-,-
Westindies,R Chandrika,-,-,-,-
Westindies,SO Dowrich,-,-,-,-
Westindies,SO Hetmyer,-,-,-,-
Westindies,KA Hope,-,-,-,-
Westindies,SD Hope,-,-,-,-
Westindies,LR Johnson,-,-,-,-
Westindies,MN Samuels,-,-,-,-
Westindies,VA Singh,-,-,-,-
Westindies,DS Smith,-,-,-,-
Newzealand,N Wagner,75,24.14,2.92,49.4
Newzealand,TA Boult,68,25.02,2.91,51.6
Newzealand,TG Southee,54,26.83,3.04,52.8
Newzealand,MJ Santner,28,38.35,2.81,81.8
Newzealand,C de Grandhomme,24,29.16,2.59,67.4
Newzealand,MJ Henry,15,35.40,2.79,76.0
Newzealand,JS Patel,13,42.92,3.01,85.3
Newzealand,IS Sodhi,11,38.63,3.81,60.7
Newzealand,TD Astle,3,17.00,2.52,40.3
Newzealand,DAJ Bracewell,3,56.66,3.18,106.6
Newzealand,MJ Guptill,3,11.00,2.53,26.0
Newzealand,MD Craig,2,69.50,2.95,141.0
Newzealand,JDS Neesham,2,101.50,4.10,148.5
Newzealand,KS Williamson,0,-,3.00,-
Newzealand,TA Blundell,-,-,-,-
Newzealand,NT Broom,-,-,-,-
Newzealand,TWM Latham,-,-,-,-
Newzealand,HM Nicholls,-,-,-,-
Newzealand,JA Raval,-,-,-,-
Newzealand,L Ronchi,-,-,-,-
Newzealand,LRPL Taylor,-,-,-,-
Newzealand,BJ Watling,-,-,-,-
INDIA,R Ashwin,133,25.66,2.86,53.8
INDIA,RA Jadeja,103,22.67,2.37,57.3
INDIA,Mohammed Shami,59,23.54,3.00,47.0
INDIA,UT Yadav,45,35.84,3.26,65.8
INDIA,I Sharma,36,26.88,2.80,57.4
INDIA,B Kumar,34,18.50,2.62,42.2
INDIA,JJ Bumrah,14,25.21,3.14,48.0
INDIA,J Yadav,11,33.36,3.51,57.0
INDIA,Kuldeep Yadav,9,20.77,3.22,38.6
INDIA,A Mishra,8,50.37,3.61,83.5
INDIA,HH Pandya,7,40.14,3.05,78.8
INDIA,V Kohli,0,-,2.76,-
INDIA,KK Nair,0,-,5.50,-
INDIA,RG Sharma,0,-,5.00,-
INDIA,M Vijay,0,-,3.52,-
INDIA,S Dhawan,-,-,-,-
INDIA,G Gambhir,-,-,-,-
INDIA,KD Karthik,-,-,-,-
INDIA,A Mukund,-,-,-,-
INDIA,PA Patel,-,-,-,-
INDIA,CA Pujara,-,-,-,-
INDIA,AM Rahane,-,-,-,-
INDIA,KL Rahul,-,-,-,-
INDIA,WP Saha,-,-,-,-
Pakistan,Yasir Shah,78,33.52,3.23,62.2
Pakistan,Mohammad Amir,50,32.48,2.66,73.2
Pakistan,Mohammad Abbas,42,17.69,2.49,42.6
Pakistan,Wahab Riaz,35,31.28,3.51,53.4
Pakistan,Sohail Khan,26,33.84,3.55,57.1
Pakistan,Hasan Ali,12,29.58,2.82,62.9
Pakistan,Rahat Ali,12,45.33,3.22,84.4
Pakistan,Imran Khan,8,35.25,3.80,55.6
Pakistan,Shadab Khan,8,48.25,3.06,94.5
Pakistan,Faheem Ashraf,5,37.60,3.08,73.2
Pakistan,Haris Sohail,5,18.80,2.76,40.8
Pakistan,Mohammad Nawaz (3),5,29.40,2.30,76.6
Pakistan,Azhar Ali,4,75.50,4.40,102.7
Pakistan,Zulfiqar Babar,3,49.66,2.22,134.0
Pakistan,Asad Shafiq,1,75.00,3.16,142.0
Pakistan,Iftikhar Ahmed,1,13.00,3.00,26.0
Pakistan,Shan Masood,0,-,0.00,-
Pakistan,Ahmed Shehzad,-,-,-,-
Pakistan,Babar Azam,-,-,-,-
Pakistan,Imam-ul-Haq,-,-,-,-
Pakistan,Misbah-ul-Haq,-,-,-,-
Pakistan,Mohammad Hafeez,-,-,-,-
Pakistan,Mohammad Rizwan,-,-,-,-
Pakistan,Sami Aslam,-,-,-,-
Pakistan,Sarfraz Ahmed,-,-,-,-
Pakistan,Sharjeel Khan,-,-,-,-
Pakistan,Usman Salahuddin,-,-,-,-
Pakistan,Younis Khan,-,-,-,-
Srilanka,HMRKB Herath,117,23.42,2.94,47.7
Srilanka,MDK Perera,80,34.11,3.29,62.1
Srilanka,RAS Lakmal,58,31.39,2.90,64.8
Srilanka,CBRLS Kumara,40,36.87,3.96,55.8
Srilanka,PADLR Sandakan,23,43.39,3.84,67.6
Srilanka,A Dananjaya,17,16.29,3.04,32.1
Srilanka,N Pradeep,16,42.62,3.45,74.1
Srilanka,CAK Rajitha,11,14.54,2.66,32.7
Srilanka,PLS Gamage,10,57.30,3.09,111.2
Srilanka,DM de Silva,6,78.00,3.96,118.0
Srilanka,MD Shanaka,6,35.83,3.57,60.1
Srilanka,PM Pushpakumara,5,47.60,3.88,73.6
Srilanka,MVT Fernando,3,34.33,3.67,56.0
Srilanka,DAS Gunaratne,3,38.00,4.38,52.0
Srilanka,AD Mathews,2,73.50,2.40,183.0
Srilanka,PVD Chameera,1,153.00,5.27,174.0
Srilanka,MD Gunathilaka,1,58.00,4.46,78.0
Srilanka,FDM Karunaratne,1,92.00,4.18,132.0
Srilanka,BKG Mendis,1,55.00,4.23,78.0
Srilanka,LD Chandimal,-,-,-,-
Srilanka,N Dickwella,-,-,-,-
Srilanka,MDKJ Perera,-,-,-,-
Srilanka,S Samarawickrama,-,-,-,-
Srilanka,ARS Silva,-,-,-,-
Srilanka,JK Silva,-,-,-,-
Srilanka,WU Tharanga,-,-,-,-
Srilanka,HDRL Thirimanne,-,-,-,-
Srilanka,ML Udawatte,-,-,-,-
